Data,Entry
12 September,"Fresh book, fresh start. With this I’m going to try to stay more positive and enjoy the little things. If the only thing I do everyday is try then that’s all I can ask. I’m currently at home because being alone in London was doing me no good. So today I think me and Em are going to go to IKEA. Yesterday Willf got accepted for a flat in Bristol and he said I should show him a good night out there. George had a really good birthday watching the cricket. Everything is looking up, I can’t believe how far we’ve come. It’s important to look after my mental health not just for me but also for my family and friends. I spoke to Dad yesterday and he thinks because my friendship group isn’t the same that’s why I’m struggling because Im so used to always having people round me. I think that’s very fair. I think I also need to feel ‘needed’ like I don’t have much purpose at the moment. But I’m back at uni in two weeks and I should be starting this new job next week hopefully. I’m going to enjoy my time and home and get some fresh air. I’m also gonna try and keep up with this because it soothes my inner dialogue which is currently directed at me. Lots of love, Anna"
13 September,"I had a really good day yesterday, chats with mum and Em really sorted me out. Mum even apologised for overlooking my mental health as a child and for not knowing about him. She even acknowledged that she wasn’t emotionally available during our childhoods. I woke up today still feeling a bit down but I’m driving Em up to Liverpool today, so that should give me something to focus on. I had a dream that I met a new therapist but as I was trying to leave I kept losing things around his flat and couldn’t actually leave. The night before I dreamt about herding sheep with Jacob and PB."
14 September,"Today has not been so good but not totally lost. I went up May Hill and cried. Iwatched when Harry met Sally and cried. I found some old art stuff of mine and laughed. I made a small sketchbook before foundation as summer homework. A book to describe myself. Page 1 – Family Page 2 – Fear Page 3 – Love. In order of which I choose to describe myself, afraid is second. Yo Anna WTF. But true tho. Anyway I think I might walk the dogs again.Feel like it might help."
16 September,"Dear Anna, I want you to know how much I love you. I love the way you care for other people. I love the way you cry at every film. I love your laugh. I love the way you dance. I love the colour of your eyes …."
18 September,"The last two days have been very intense. On Saturday I cried so much I took an uber to Phoenix’s and stayed there all day. Then I stayed at Dairana’s. Yesterday was definitely better but I was fighting tears on the bus to and from Battersea. I messaged Jacob about it and he ignored my message. I guess that’s fine. At least I know now, I’m not really sure what I know but I don’t think I’ll try again to reach out to him. It must be hard for him to receive that message but if he wants to be friends then he needs the good and the bad. That is who I am. I’m trying to work out who I am again because I’m not sure. I think the people around me would be able to tell me. What I know for far: Vegetarian Bisexual Female Intelligent Anxious Footie fan Artist Female artist fan Fun Alcoholic Dancer Traveller Curly hair Reader Lactose intolerant I’m gonna keep working it out. I love you, Anna xx"
23 September,"Dear Anna, Today is Svenny’s 25th Birthday. Today is also Yaz’s housewarming party. I’m wearing big blue jeans, a white tee, pink knock off uggs and matching neck scarf and a pink cowboy hat. So I just got home, I haven’t been here for two days. I left for the doctors on Thursday and didn’t get back til lunch Saturday. First the doctors was okay, I got prescribed propranolol which should help with my panic attacks and anxiety symptoms. Then I went to see Jacob in Battersea park, we sat in the café which will always be our café in my eyes. We chatted for two hours and didn’t play any football. We spoke about mental health, mine mostly but his too. We also talked about trying to be better friends and how some of the things ge said to me affected my mental health and how some of my actions had confused him, which is fair. We spoke about family, friends and uni. I left to pick up my prescription then went east to have dinner with Camo. I ended up staying the night because we got stoned. But it was good really because it meant I could help get Camo out of the house. I tided his room and went with him to get his hair cut. We then went to Stratford (westfields) to sort out our outfits. At this point I felt a bit overwelmed and over stimulated. We then went to bethnal green, I had a non alcoholic drink then went to phoenixs and went to the pub where I had a guiness but its Friday. O took an anxiety pill because Jaocb was coming. Me, Camo and Jacob then went to smoke a joint and walked to Helina’s housewhich was fun but also a bit strange. The Phoenix went to bed and we had to decide what to do. The three of us went to Oxborough House. Jonny was there and waited to hang. On the waay the boys had an argument at the bus stop about Camo’s mental health, I don’t really like the way Jacob handled it but I think the message got across because Camo opened up to me this morning on the way home. I’m back now had a shower, Amy’s coming round 6ish to cut my hair. I need to eat some food and lok after myself before this party because I’m very nervous I might say something I don’t mean. What am I worried about is being drunk around Jacob because he’s definitely a trigger. I think he will be well behaved but we’ll see. I’m also worried that I will tell him I still love him. I’m happy to have my friend back truly that is all I want. But obviously there’s a lot of things I still love about him. If he shouts at me I will call him out. I hope he doesn’t but he gets a bit angry after a couple of drinks so we’ll see. I have a lot to be grateful for a look forward to.I trust myself to keep me safe. I have great friends around me truly. I love to dance and cant wait to make a fool of myself. I love you, forever + always, Anna P.s. I was a great big sister talking to Em about her night out and yesterday she went to see her friend which is a big step"
24 September,"Dear Anna, I’m loving the affirmation app that Jonny put on my phone. I think its actually making me feel better. The party yesterday was fun but I dipped at 3ish. Jacob and Yaz tried to cheer me up but I think I was so tired and overstimulated. It was nice to stay at the boys house all together because it meant that I wasn’t alone when I felt anxious which I really did. I also left my meds at mine which didn’t help. I fell asleep in Jacobs clothes in his gazza top and shorts. I wore it to breakfast as well. I think I still love him, I know I do and I probably told everyone as well. It’s pretty obvious anyway. He makes me so happy but I don’t want a relationship with him, our friendship is so important to me. He is kind and compassionate as a friend but not a boyfriend. Don’t forget how he made you feel babe, you deserve someone who will travel oceans for you. After breakfast I went home then travelled east to see Tom. We did DMT togther, on a Sunday! It’s interesting Tom told me the colour you see is important. I saw green. Green auras mark a grounded, hard working person who is a nature lover. It was strange and felt weird but I felt a lot less anxious afterwards. I then had a drink with Paris and chatted a lot of shit. I then got the wrong overground home. But I feel better now that the whole party is over. I’m happy me and Jacob can be friends. We planned a chat to the RA, Paris said it’s a date.Look after yourself, Hands + all Love Anna x"
25 September,"Dear Anna, Busy day, first day back at uni. Jass is moving in, Pheny + Dariana coming for the pub and Katie is coming to look at our spare room. I feel more positive today. Obongjayar’s tiny desk concert is one of the most beautiful things I’ve ever heard.The Bell Jar is one of the best books I’ve ever read.Anyway, I love you, stay in dreamlandLove Anna x"
26 September,"Dear Anna Well done for organising the house and good roommates. Look after yourself I know you’re tired. Don’t forget about tomorrow’s doctor’s appointment. Have fun at uni today and think about that residency. Love you long time, Anna xx Anna, You fucking smashed it today! Good job speaking at uni, and you were excited about the pen drabber or whatever its called. Pen clotted? Pen plotter < Walked off the hyperness, good call. And great time watching bake off with the girls Love you Anna "
27 September,"Hi love, I want you to know how proud I am of you. I am proud of me. Finally reaching out. Lets see how this treats you and how the anti depressants work. Over the last week I have been trying to look after myself better. I was very honest with Amy. I cried but I didn’t weep. Its okay to weep but I am on a journey of control. To regain myself. To love and cherish the one that I am, and to accept her with all her flaws. Til the age of 23 I have endured a lot and will encounter more no doubt, but as we move I embrace my true whole being as mine. I think this BS app Jonny showed me is working, Amy said she doesn’t think I have Bipolar and BPD isn’t screaming at her. She thinks the manic episodes come from repression of my depression. I don’t think I quite remembered that right. She thinks I might have pTSD, which would make sense but I don’t have the nightmares anymore but I am definitely depressed. I think that’s okay. Shes gonna call me on Tuesday to let me know. I’m gonna be at uni but that should be fine. I’ve been listening to a Stephen fry interview and he as the wonderful human being seems has also been through a lot of mental health issues. Going to see Dariana later.Can’t wait. Love Anna xx How I am going to cut down my drinking Only drink twice a week Plan when I’m gonna leave (set an alarm) Use a drinking diary Eat Don’t pre drink Stick to singles What might help Having a nighttime routine Plan activities Don’t be scared to say no Focus on the other people there Stephen Fry – ‘Artists are special, arts is special, it does special things’"
